1;Abromiškio atodanga;4314994364;563786.958704644;6148710.32676553
2;Akmeninė užtvanka;3713676194;396674.953056261;6241565.99480142
3;Akmenos apžvalgos aikštelė;5028700202;388202.824219235;6142771.28179315
4;Akmenos – Jūros upių santaka;2370221555;387741.725956134;6136544.75719281
5;Aleksoto apžvalgos aikštelė;1013895687;492717.723349448;6083944.85198289
6;Alytaus piliakalnio apžvalgos aikštelė;1134203199;505127.928396562;6028871.46077728
7;Andruškonių atodanga;4966875764;506872.014024103;6098082.7362999
8;Apaščios ir Nemunėlio santaka;5844429476;547495.817797803;6252171.3446296
9;Apušio apžvalgos aikštelė;5028214989;449246.103530333;6164790.85133388
10;Apžvalgos aikštelė;6700273919;579101.334227675;6062086.57806597
11;Apžvalgos aikštelė ant Tulkiaragės siurblinės stogo;5542271251;332212.68976613;6138856.7806579
12;Apžvalgos aikštelė „Gairiakalnis“;3486143720;470112.205192766;6077478.48108568
13;Apžvalgos aikštelė šalia Plokščių bažnyčios;5544859119;447204.851858677;6105487.1824671
14;Apžvalgos aikštelė šalia Telšių bažnyčios;3872499795;391204.258037181;6206819.46943479
15;Apžvalgos aikštelė senojoje perkėloje;5178044391;319141.985861063;6178373.6223405
16;Apžvalgos bokštas;3449141499;382158.093644297;6133648.71933437
17;Apžvalgos bokštas;4692081010;308923.713694323;6134019.81063668
18;Apžvalgos bokšteliai;3517028307;464109.22297572;6177839.37493927
19;Apžvalgos bokštelis;2068593691;324577.563942757;6142889.3745843
20;Apžvalgos bokštelis;3373025183;437059.476179194;6185606.41806069
21;Apžvalgos bokštelis Novaraisčio ornitologiniame draustinyje;3662663128;462605.353839241;6089815.10848029
22;Apžvalgos ratas;4258095517;640944.048867123;6179330.08571013
23;Apžvalgos vieta;4258220410;640165.515081785;6179669.03211459
24;Artosios aukštapelkės apžvalgos aikštelė;5588109230;401993.877201775;6116434.01942497
25;Atodanga;963718797;611987.084872266;6082520.51892856
26;Atodanga;3238695453;605038.445079081;6044500.79162382
27;Atodanga;1670019641;612174.385599139;6082201.38082494
28;Aukščiausia Anykščių apžvalgos aikštelė;4402505089;568484.17157593;6155485.18992718
29;Aukštagirės apžvalgos bokštas;1316287393;394658.757964766;6165455.23280459
30;Aukštųjų Šančių piliakalnis;1688104974;497119.569560915;6082946.3837372
31;Aukštumalos pažintinio tako platforma;2068513657;332744.010426506;6142891.41646482
32;Aukštupėnų piliakalnis;3832353383;561086.413525217;6190808.27298745
33;Ausiutiškių regykla;1354078668;560251.428918638;6071529.27418152
34;Avikalnio apžvalgos aikštelė;1118427594;317501.083555705;6157008.6649164
35;Avikalnio ragas;2704421297;318126.087080068;6156985.01061798
36;Avižlio atragis;1631476416;415726.541626691;6230401.28088336
37;Ąžuolų kalnas;792100839;559735.175286338;6076140.01694333
38;Bakanausko ežero apžvalgos aikštelė;2119876187;518182.903636073;5988938.42906086
39;Balbieriškio atodanga;374121724;492500.044786536;6044181.41557389
40;Baltas kalnas;1468796966;553244.022709333;6083731.84845758
41;Barbakano apžvalgos aikštelė;674111736;583449.707519079;6060872.1023149
42;Bardėnų apžvalgos bokštas;5028700987;372900.958497626;6109799.41074988
43;Birštono apžvalgos bokštas;6371353705;500858.253041408;6051899.16401385
44;Birštono piliakalnis;1690106146;502182.779087199;6051162.76391379
45;Birštvyno ragas;2756927416;317001.210304128;6147220.3853242
